run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
General-0-20220529-23:27:54-1972,runattr,,,configname,General,,,
General-0-20220529-23:27:54-1972,runattr,,,datetime,20220529-23:27:54,,,
General-0-20220529-23:27:54-1972,runattr,,,experiment,General,,,
General-0-20220529-23:27:54-1972,runattr,,,inifile,omnetpp.ini,,,
General-0-20220529-23:27:54-1972,runattr,,,iterationvars,,,,
General-0-20220529-23:27:54-1972,runattr,,,iterationvarsf,,,,
General-0-20220529-23:27:54-1972,runattr,,,measurement,,,,
General-0-20220529-23:27:54-1972,runattr,,,network,Network,,,
General-0-20220529-23:27:54-1972,runattr,,,processid,1972,,,
General-0-20220529-23:27:54-1972,runattr,,,repetition,0,,,
General-0-20220529-23:27:54-1972,runattr,,,replication,#0,,,
General-0-20220529-23:27:54-1972,runattr,,,resultdir,results,,,
General-0-20220529-23:27:54-1972,runattr,,,runnumber,0,,,
General-0-20220529-23:27:54-1972,runattr,,,seedset,0,,,
General-0-20220529-23:27:54-1972,param,,,Network.sender.senderAppLayer.generationInterval,exponential(0.1),,,
General-0-20220529-23:27:54-1972,param,,,Network.**.maxSeqNum,2147483647,,,
General-0-20220529-23:27:54-1972,param,,,Network.**.packetByteSize,12500,,,
General-0-20220529-23:27:54-1972,param,,,Network.dataQueue.bufferSize,100,,,
General-0-20220529-23:27:54-1972,param,,,Network.ackQueue.bufferSize,100,,,
General-0-20220529-23:27:54-1972,param,,,Network.sender.transpSend.bufferSize,2000000,,,
General-0-20220529-23:27:54-1972,param,,,Network.sender.transpSend.rtt,1s,,,
General-0-20220529-23:27:54-1972,param,,,Network.sender.transpSend.timeout,3s,,,
General-0-20220529-23:27:54-1972,param,,,Network.rec.transpRec.bufferSize,200,,,
General-0-20220529-23:27:54-1972,vector,Network.sender.transpSend,packetDropSend,,,,"0","0"
General-0-20220529-23:27:54-1972,vector,Network.dataQueue,packetDropQueue,,,,"0","0"
General-0-20220529-23:27:54-1972,vector,Network.ackQueue,packetDropQueue,,,,"0","0"
General-0-20220529-23:27:54-1972,vector,Network.rec.transpRec,packetDropRec,,,,"0","0"
