run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
General-0-20220526-15:44:45-12784,runattr,,,configname,General,,,
General-0-20220526-15:44:45-12784,runattr,,,datetime,20220526-15:44:45,,,
General-0-20220526-15:44:45-12784,runattr,,,experiment,General,,,
General-0-20220526-15:44:45-12784,runattr,,,inifile,omnetpp.ini,,,
General-0-20220526-15:44:45-12784,runattr,,,iterationvars,,,,
General-0-20220526-15:44:45-12784,runattr,,,iterationvarsf,,,,
General-0-20220526-15:44:45-12784,runattr,,,measurement,,,,
General-0-20220526-15:44:45-12784,runattr,,,network,Network,,,
General-0-20220526-15:44:45-12784,runattr,,,processid,12784,,,
General-0-20220526-15:44:45-12784,runattr,,,repetition,0,,,
General-0-20220526-15:44:45-12784,runattr,,,replication,#0,,,
General-0-20220526-15:44:45-12784,runattr,,,resultdir,results,,,
General-0-20220526-15:44:45-12784,runattr,,,runnumber,0,,,
General-0-20220526-15:44:45-12784,runattr,,,seedset,0,,,
General-0-20220526-15:44:45-12784,param,,,Network.sender.gen.generationInterval,exponential(0.1),,,
General-0-20220526-15:44:45-12784,param,,,Network.sender.gen.packetByteSize,12500,,,
General-0-20220526-15:44:45-12784,param,,,Network.queue.bufferSize,100,,,
General-0-20220526-15:44:45-12784,param,,,Network.rec.queue.bufferSize,200,,,
General-0-20220526-15:44:45-12784,param,,,Network.sender.queue.bufferSize,2000000,,,
